SN,District,School_Name,Type,Status,Boarding,Trade_Count,Accredited_Trades,Not_Accredited_Trades,Reasons
1,BUGESERA,GASORE SERGE FOUNDATION VTC,VTC,Private,Day,1,Tailoring L1,None,None
2,BUGESERA,NELSON,MANDELA TSS,TSS,Public,5,Boarding | Building construction L3-5 | Manufacturing technology L3-5 | Electrical Technology L3-5 | Fashion Design L3-5,None,None
3,BUGESERA,LYCEE DE LA SAINTE TRINITE-,APED TSS,TSS,Private,3,Mixed (Day and boarding) | Building construction L3-5 | Electrical technology L3-5,None,None
4,BUGESERA,RUHUHA VTC,VTC,Public,Mixed (Day and boarding),2,Tailoring L1 | Hairdressing L1,None,None
5,BUGESERA,GS RUTONDE/TSS,TSS,Public,Day,2,Building Construction L3-5 | Electrical Technology L3-5,None,None
6,BUGESERA,NDAMA TSS,TSS,Government- aided,Day,2,Animal health L3-5 | Fashion design L3-5,None,None
7,BUGESERA,EPR NYAMIRAMA VTC,VTC,Private,Day,3,Tailoring L1 | Masonry L1 | Welding L1,None,None
8,BUGESERA,GS GIHINGA/TSS,TSS,Public,Day,2,Building Construction L3-5 | Plumbing Technology L3-5,Page 1 of80 | A «AnoiuiMM*«no# | District | School Name | Type (TSS/VTC) | Status | Boarding status | (Re)_Accredited trades | (Re)_Accredited trades,Reasons for not reaccreditation
9,BUGESERA,GS,KAMABARE/TSS,TSS,Public,2,Building Construction L3-5 | Electrical Technology L3-5,None,None
10,BUGESERA,NYAMATA TSS,TSS,Public,Boarding,10,Building construction L3-5 | Networking and Internet technologies L3-5 | Fashion design L3-5 | Wood technology L3-5 | Electrical technology L3-5 | Renewable energy L3-5 | Manufacturing technology L3-5 | Land surveying L3-5 | Electronics and telecommunication L3-5 | Interior design L3-5,None,None
11,BUGESERA,NIBAKURE,COMMUNITY,VILLAGE VTC,VTC,2,Private | Tailoring L1,None,None
12,BUGESERA,ES JURU TSS,TSS,Public,Day,2,Building Construction L3-5 | Electrical Technology L3-5,None,None
13,BUGESERA,GS KAGASA MWOGO/TSS,TSS,Public,Day,2,Building construction L3-5 | Manufacturing technology L3-5,None,None
14,BUGESERA,GS RILIMA,CATHOLIQUE/TSS,TSS,Day,3,Government- aided | Agriculture L3-5 | Animal Health L3-5,None,None
15,BUGESERA,GITAGATA REHABILITATION CENTER VTC,VTC,Public,Boarding,4,Tailoring L1 | Hairdressing L1 | Culinary Arts L1 | Nono None,Page 2 of 80 | (1 NES/ | MA1KJMAL CXA*OMMT1OM . AM* FCHOOl IMSMVCnOM k AVTHomrv | District | School Name | Type (TSS/VTC) | Status | Boarding status | (Re)_Accredited trades | Not (Re)_Accredited trades,Reasons for not reaccreditation
16,BUGESERA,GS MAREBA/TSS,TSS,Public,Day,2,Building Construction L3-5 | Plumbing Technology L3-5,None,None
17,BUGESERA,GS MUSENYI/TSS,TSS,Government- Aided,Day,2,Agriculture L3-L5 | Manufacturing technology L3-5,None,None
18,BUGESERA,BATIMA TSS,TSS,Public,Day,2,Building construction L3-5 | Manufacturing technology L3-5,None,None
19,BUGESERA,GS DIHIRO/TSS,TSS,Public,Day,3,Animal Health L3-5 | Agriculture L3-5 | Manufacturing technology L3-5,None,None
20,BUGESERA,URUMURI COMMUNITY CENTER VTC,VTC,Public,Day,1,Tailoring L1,None,None
21,BUGESERA,APEBU NYAMATA TSS,TSS,Private,Mixed (Day and boarding),3,Building construction L3-5 | Electrical Technology L3-5 | Food and Beverage Operation L3-,None,None
